240849_at,1554154_at,230291_s_at,238023_at,233443_at,224370_s_at,1560303_at,1567237_at,226573_at,244070_at,206827_s_at,1569362_at,242180_at,1561928_s_at,1555962_at,209811_at,201489_at,227196_at,237707_at,1553235_at,212848_s_at,231541_s_at,207084_at,1564876_s_at,212864_at,236195_x_at,215507_x_at,228757_at,220778_x_at,1553640_at,225013_at,235825_at,1561631_at,235765_at,233871_at,1556228_a_at,230978_at,201056_at,244160_at,234110_at,213222_at,1555888_at,1555687_a_at,203080_s_at,219292_at,209001_s_at,241771_at,222020_s_at,Class
73.04,24.9042,6.86336,16.8443,60.774,5.2304,8.27557,14.1828,50.8948,18.6172,64.2969,6.00516,42.8974,28.0789,60.0941,78.2333,994.43,11.3731,10.9762,28.9735,64.0732,34.0856,17.7407,43.2321,481.599,57.1,47.5661,50.6844,94.9021,18.8055,20.5533,21.0486,6.40569,30.6841,12.3054,205.395,22.5004,122.438,38.9594,5.87301,100.556,310.09,14.1966,569.077,156.568,1350.95,20.9808,19.6215,Control
35.52,33.7904,6.21002,14.081,37.7482,6.59755,8.16792,13.5193,33.1568,18.6286,50.963,9.53096,27.0896,26.5141,36.4747,77.9275,973.943,10.7516,14.1749,30.3344,48.831,32.7992,13.7506,32.758,450.413,62.1253,39.8503,57.8574,66.9538,14.2047,17.8768,18.0676,5.21151,24.2557,11.1545,236.199,13.755,116.651,30.3527,6.59755,99.2915,373.651,14.1938,760.534,145.016,1224.09,21.3979,13.396,Control
65.4704,31.5652,7.58937,16.9005,46.7089,5.34821,7.90362,14.9246,60.8968,18.4775,70.2073,7.83947,36.1367,27.5891,51.4123,84.2597,1029.25,9.97463,9.01405,28.802,58.8008,29.6847,16.7586,41.0874,545.663,66.9153,46.5423,55.2331,93.1845,17.8638,21.5022,17.5154,6.41135,22.2663,14.214,211.236,23.2279,106.902,47.1703,5.98067,114.745,304.145,21.8394,688.492,176.892,1472.97,21.2641,18.1994,Control
32.6008,49.31,6.01841,13.2807,47.954,5.67498,7.1301,12.8727,36.8232,14.4025,45.9564,9.25578,21.7076,32.6792,50.1137,101.04,918.904,10.5194,12.1316,21.3118,51.8551,28.936,11.1386,27.2277,511.94,55.8966,46.7105,38.1265,56.5961,16.2411,15.7513,20.3784,7.10665,26.208,10.6941,252.67,12.232,96.446,29.157,6.03534,118.407,466.529,22.1713,831.786,119.325,1391.29,16.4092,12.9074,Control
56.5524,39.8567,7.872,17.801,48.2627,5.69491,8.453,12.9695,37.7131,13.206,64.4942,10.605,22.6379,27.356,64.2635,84.3829,828.104,10.0983,15.8233,30.4723,64.2494,29.7122,13.7468,28.0552,476.551,86.1357,38.2634,59.6705,59.8374,14.3226,16.0397,20.5236,5.49948,19.3058,9.03981,209.504,18.7883,124.671,40.0993,6.57802,99.6788,319.598,16.7122,537.98,156.944,1193.74,20.2442,8.523,Control
68.3758,28.8816,8.24295,19.014,47.429,5.69491,7.7118,19.5096,65.742,12.3748,58.7005,7.78472,38.1714,36.3781,53.29,68.762,711.08,9.28665,11.1047,30.5941,65.2255,30.8346,14.8857,47.4846,382.459,64.1623,62.5467,54.3997,95.6808,19.6807,23.0901,17.5108,7.19346,38.3597,14.5176,148.019,23.0901,107.523,49.6835,6.94007,58.1176,363.095,13.5271,508.782,85.5746,986.306,23.2845,20.8982,Control
62.5951,28.4735,7.07994,12.244,44.5158,5.54405,8.18905,15.5563,53.9813,17.4478,57.1266,8.34158,31.7561,27.6229,61.8476,82.3402,971.74,8.85557,9.7697,24.8441,52.4687,34.217,14.1313,33.9704,429.199,52.9729,55.5471,59.8728,87.4901,15.4172,18.6306,16.4637,5.7392,27.3577,10.4435,162.608,20.2129,105.987,42.4407,6.33935,74.6842,396.705,20.4073,696.367,155.232,1156.34,16.0271,16.7533,Control
62.5679,28.0069,6.61542,16.1481,40.7642,5.55523,8.04628,22.8399,59.0023,16.3691,53.5751,6.88469,39.2914,30.0268,64.5474,55.2164,890.29,9.97179,10.7599,30.3924,59.2869,37.4036,16.5471,48.2144,405.272,69.6587,50.6899,66.867,108.953,20.0207,17.9532,17.7818,6.31725,26.9422,10.8388,156.893,27.6265,96.2579,41.3062,6.37525,42.9713,258.864,15.5378,509.713,150.61,1443.47,21.0121,18.1016,Control
62.5581,40.979,6.8546,14.1215,39.0526,6.36316,9.01573,14.0178,50.6064,17.7912,54.6821,11.5146,32.799,35.1586,49.7631,61.3748,1172.96,10.418,20.6071,29.2022,54.0994,41.8976,24.1217,38.2361,620.677,54.8357,52.8545,49.4213,71.4431,11.8192,17.8297,12.539,8.38253,22.3281,18.2392,274.486,17.1947,134.232,44.5016,7.20412,111.832,340.529,14.7469,738.144,110.333,1189.52,21.2487,17.1133,Control
46.6406,30.198,5.90148,12.5946,44.7007,5.72576,7.1932,13.4995,53.0365,13.8242,59.2153,6.90784,32.6139,29.006,66.0951,71.2828,856.005,9.53006,10.413,24.8904,66.1131,28.0867,17.0805,43.111,310.915,62.269,46.8034,53.0869,86.2798,13.3046,17.1025,18.4604,6.58751,26.826,11.683,159.951,20.1522,127.127,49.5079,5.34993,54.6591,264.382,15.3375,594.02,123.255,1127.2,19.6243,13.6022,Control
50.2465,45.1169,6.12527,10.5861,39.7899,5.89635,8.03558,9.04651,46.7497,20.3746,59.3046,8.38091,19.5278,24.3382,41.2579,94.4932,843.526,7.19549,11.82,23.9321,56.4798,30.8936,15.5873,30.1785,516.544,48.4335,44.6016,46.3866,63.8583,22.0642,19.2813,17.4878,6.14435,23.3589,9.43279,199.279,15.7503,106.393,33.5146,6.41523,124.381,463.752,11.5863,767.775,153.026,1167.42,17.0963,11.8142,Control
34.3379,46.6285,6.16189,12.1233,34.8991,6.41673,8.53234,11.5693,48.9092,12.9487,39.5754,8.93239,27.153,25.9639,46.1958,136.947,1212.73,12.0893,10.9287,26.335,39.9711,28.4674,12.7925,27.4209,639.536,51.4986,45.2499,46.1514,68.7204,14.874,12.6605,18.9745,5.94262,25.1548,11.1535,255.336,14.4415,127.258,32.271,7.3075,73.6121,579.259,9.74645,1098.24,140.701,1598.29,16.3499,13.8406,Control
42.8661,43.1337,5.84541,15.2318,34.5522,6.18107,7.7067,18.2281,47.7366,13.7813,50.9671,9.16395,27.61,20.92,48.0016,74.948,776.06,9.12378,12.1346,25.3753,45.8354,33.7382,16.5619,33.2123,342.823,74.2873,47.8647,50.5789,61.6006,22.4429,18.9156,22.3349,6.71321,24.7744,10.0014,199.844,16.2476,102.476,40.1161,6.57556,105.16,256.78,13.1797,594.079,180.762,1327.26,19.7185,15.6775,Control
53.8538,34.0469,5.81777,11.4563,44.9084,5.36105,7.34801,11.7983,57.5589,20.2312,54.3922,7.82444,31.3669,36.7013,49.2459,107.725,1096.24,8.64438,11.3561,27.7135,57.6602,28.6419,17.4333,34.3703,531.042,61.4433,48.4753,48.9337,78.4747,17.5854,17.0434,18.195,6.31443,24.4122,10.8913,322.014,18.8658,135.243,39.8245,6.92511,88.5411,563.092,12.4066,1265.73,174.307,1490.26,17.2589,14.029,Control
60.8422,33.1528,6.08533,16.6221,46.2496,6.33648,7.99731,13.1906,61.8619,19.5369,64.4651,7.09301,32.3862,22.1929,53.5528,92.8026,1049.68,11.507,8.24784,35.0897,52.1001,32.092,15.9397,30.6328,573.443,63.0446,41.2758,44.8293,89.8997,16.7374,19.1761,20.2968,6.55049,22.4765,11.1007,198.215,21.8783,105.528,44.2554,7.22718,111.804,288.369,22.3673,664.756,179.683,1483.41,19.1067,15.6626,Control
51.025,44.2159,6.56977,11.9193,35.5974,5.90881,9.21621,11.3463,40.4731,17.1807,49.1498,9.5733,28.7755,31.4411,45.2578,92.1251,1028.2,9.29222,11.4138,23.9637,41.721,27.6451,14.8666,28.9281,447.908,63.2125,41.9691,43.0517,71.2887,15.5301,20.6259,17.6859,5.68783,23.0235,10.1061,183.07,11.9878,106.25,30.6498,6.25429,126.596,324.679,13.8754,647.621,159.878,1307.68,18.53,10.3275,Control
44.7639,39.6743,6.03616,12.4111,36.9716,6.35343,10.2009,14.7892,38.3073,16.6811,42.1158,8.60925,24.1616,27.6732,43.7043,94.9614,968.971,10.2702,11.3495,28.4987,45.068,38.9233,12.1368,34.9554,478.449,61.7627,50.4708,57.5251,50.6597,20.3123,17.2362,19.216,6.33088,26.4521,9.60524,260.452,15.7214,105.509,29.8883,6.21199,118.875,437.447,14.9023,731.6,142.528,1257.02,15.9897,14.2383,Control
49.9893,41.368,6.36894,12.2448,44.8207,5.78018,9.65386,13.9662,40.36,15.7644,69.9561,8.79201,20.4482,31.2901,38.5462,57.1045,1300,10.1669,13.7279,28.9011,54.9634,34.7017,17.5102,32.8021,563.192,60.0334,45.9929,47.0329,69.7695,16.1124,19.4335,17.4179,7.22602,23.9447,9.36276,226.756,15.3255,111.909,40.3437,6.21942,116.163,386.606,18.3128,731.657,134.225,1425.54,17.0938,14.643,Control
